The d- and f-Block Elements
Question,Answer
1,b
2,d
3,d
4,d
5,b
6,c
7,d
8,a
9,c
10,c
11,a
12,d
13,d
14,b
15,a
16,c
17,d
18,b
19,c
20,c
21,c
22,a
23,b
24,c
25,b
26,c
27,b
28,c
29,a
30,d
31,d
32,c
33,b
34,b
35,d
36,d
37,c
38,b
39,d
40,a
41,a
42,b
43,c
44,d
45,a
46,b
47,b
48,d
49,b
50,b
51,a
52,b
53,c
54,d
55,c
56,c
57,a
58,a
59,b
60,a
61,b
62,c
63,b
64,b
65,a
66,a
67,b
68,d
69,b
70,c
71,b
72,a
73,a
74,a
75,d
76,c
77,c
78,b
79,c
80,d
81,c
82,a
83,d
84,b
